lims_pedon_id,user_pedon_id,indicator_code,LRR,MLRA,applicable_here,evaluation_status,indicator_present,horizon_or_layers_used,depths_used,matrix_colors_used,redox_values_used,texture_used,organic_material_used,failed_requirements,missing_requirements,explanation
32683,S2014AZ019001,A1,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,NASIS horizon description,No parsed NASIS horizons.
32683,S2014AZ019001,A2,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A3,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,NASIS horizon description,No parsed NASIS horizons.
32683,S2014AZ019001,A4,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A5,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A6,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A7,D,40,False,NOT_APPLICABLE,,,,,,,,,,Indicator A7 is not approved for LRR D/MLRA 40.
32683,S2014AZ019001,A8,D,40,False,NOT_APPLICABLE,,,,,,,,,,Indicator A8 is not approved for LRR D/MLRA 40.
32683,S2014AZ019001,A9,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,NASIS horizon description,No parsed NASIS horizons.
32683,S2014AZ019001,A10,D,40,False,NOT_APPLICABLE,,,,,,,,,,Indicator A10 is not approved for LRR D/MLRA 40.
32683,S2014AZ019001,A11,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,NASIS horizon description,No parsed NASIS horizons.
32683,S2014AZ019001,A12,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,NASIS horizon description,No parsed NASIS horizons.
32683,S2014AZ019001,A13,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A14,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A15,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A16,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A17,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,A18,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,S1,D,40,True,INSUFFICIENT_INFORMATION,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,S2,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
32683,S2014AZ019001,S3,D,40,False,NOT_APPLICABLE,,,,,,,,,validated executable rule not included in high-confidence first pass,Approved indicator retained in rulebook but not executed in this first-pass implementation.
